Frame,root_translateX,root_translateY,root_translateZ,root_rotateX,root_rotateY,root_rotateZ,left_hip_pitch_joint_dof,left_hip_roll_joint_dof,left_hip_yaw_joint_dof,left_knee_joint_dof,left_ankle_pitch_joint_dof,left_ankle_roll_joint_dof,right_hip_pitch_joint_dof,right_hip_roll_joint_dof,right_hip_yaw_joint_dof,right_knee_joint_dof,right_ankle_pitch_joint_dof,right_ankle_roll_joint_dof,waist_yaw_joint_dof,left_shoulder_pitch_joint_dof,left_shoulder_roll_joint_dof,left_shoulder_yaw_joint_dof,left_elbow_joint_dof,right_shoulder_pitch_joint_dof,right_shoulder_roll_joint_dof,right_shoulder_yaw_joint_dof,right_elbow_joint_dof
0,0.9112640023231506,1.5596379041671753,62.871978759765625,-3.934263220158036,2.730772776049472,-110.78899192101916,-12.375135,14.73952,27.303411,37.87571,-24.622105,-5.00145,5.311098,2.147517,-9.052018,6.4573445,-18.242756,10.335797,9.933422,8.927794,21.861816,-28.84887,68.295906,-2.6755302,-23.532032,40.468254,43.01612
1,0.976136326789856,1.3337619304656982,62.834835052490234,-4.038324194907169,2.8333805416894235,-110.77087966754767,-12.319627,14.693123,27.307936,37.9708,-25.079012,-4.85165,5.3673577,2.1163387,-9.01941,6.4739223,-18.158104,10.10833,9.685099,9.783747,22.599657,-28.898857,67.93595,-2.5868196,-24.05907,40.561264,42.49745
2,1.0568604469299316,1.0977762937545776,62.80255889892578,-4.133652155052089,2.9033596510935724,-110.74786599573486,-12.233005,14.637692,27.312223,38.06365,-25.532162,-4.7013893,5.4532533,2.0774293,-8.991531,6.4937086,-18.078514,9.903215,9.478889,10.784301,23.130508,-28.851288,67.57785,-2.3972437,-24.477604,40.441486,41.998226
3,1.1320888996124268,0.8519569635391235,62.76642608642578,-4.2145381214713415,2.9634208660521835,-110.71778014313256,-12.127101,14.557014,27.309736,38.1269,-25.97088,-4.548254,5.5503488,2.0237734,-8.970835,6.51389,-17.984373,9.65783,9.296902,11.756787,23.528181,-28.77632,67.25851,-2.1707149,-24.81863,40.19593,41.56439
4,1.2180479764938354,0.6014863848686218,62.73664855957031,-4.274842698707579,3.028983902167899,-110.67261776692708,-12.007903,14.431303,27.288218,38.132668,-26.383305,-4.3883214,5.6463037,1.9487766,-8.966057,6.536545,-17.859085,9.31072,9.116987,12.643026,23.834335,-28.720745,66.92898,-1.9469744,-25.10273,39.889435,41.218327
5,1.3060026168823242,0.34823882579803467,62.71526336669922,-4.3353489342748075,3.1061110958203177,-110.6054884190921,-11.880387,14.276299,27.232407,38.074425,-26.773163,-4.2125516,5.73436,1.8770678,-8.973912,6.5634294,-17.699104,8.79331,8.915698,13.428653,24.07529,-28.718348,66.6098,-1.757406,-25.344366,39.575348,40.958614
6,1.3952006101608276,0.08275804668664932,62.69896697998047,-4.400785521385211,3.192870795611929,-110.51977389494704,-11.74206,14.100055,27.149801,37.954956,-27.138674,-4.0252714,5.8162804,1.8150218,-8.993747,6.593277,-17.51221,8.1574955,8.694113,14.109455,24.268208,-28.778194,66.322464,-1.610328,-25.553108,39.27845,40.770126
7,1.4953107833862305,-0.18902477622032166,62.69121170043945,-4.437945371410336,3.2891093397159232,-110.42030585540635,-11.581717,13.865954,27.063492,37.75252,-27.455294,-3.8414466,5.895733,1.723534,-9.040961,6.624136,-17.300344,7.521703,8.466988,14.678979,24.42434,-28.885962,65.9998,-1.4929621,-25.734919,38.993584,40.651108
8,1.6027486324310303,-0.45897331833839417,62.67085266113281,-4.375936051266032,3.3910453783710137,-110.31912986340551,-11.414162,13.52457,27.002056,37.525925,-27.740244,-3.6823626,5.937023,1.5170292,-9.131244,6.755343,-17.127123,6.9997797,8.265267,15.171483,24.550373,-29.017628,65.52736,-1.3986921,-25.894205,38.69897,40.634308
9,1.7031352519989014,-0.7341676354408264,62.64445114135742,-4.195374173387006,3.5017360828991024,-110.22421407527898,-11.222678,13.046559,26.988256,37.237938,-27.97248,-3.5477803,5.3045497,1.0534288,-9.289774,8.567709,-17.982676,6.607355,8.086394,15.629928,24.65182,-29.154747,64.82442,-1.3217528,-26.034006,38.367737,40.707043
10,1.8203195333480835,-1.0123622417449951,62.613426208496094,-3.923545826273109,3.6217015747638373,-110.1283435617618,-11.003592,12.451626,27.006247,36.872005,-28.150179,-3.4276245,4.605581,0.46644747,-9.484419,10.538414,-18.949646,6.2749877,7.9222,16.071075,24.734388,-29.293581,63.91628,-1.2577052,-26.157774,37.995262,40.854744
11,1.946223497390747,-1.290610671043396,62.57931137084961,-3.582658225681017,3.749946648383016,-110.02432542765573,-10.769276,11.766528,27.033022,36.44387,-28.279034,-3.3239677,3.8464835,-0.22242479,-9.696585,12.650768,-19.92138,6.0233207,7.79485,16.47183,24.802814,-29.432213,62.86956,-1.2060169,-26.2694,37.59727,41.093815
12,2.079145669937134,-1.573203682899475,62.54166793823242,-3.1936186149922805,3.8862428503375153,-109.90648660709694,-10.534583,11.018559,27.047369,35.975277,-28.368862,-3.2388165,3.0180833,-0.9935439,-9.910274,14.928285,-20.812704,5.8751945,7.7256427,16.801067,24.860489,-29.569302,61.759735,-1.1765043,-26.373009,37.203568,41.449436
