Frame,root_translateX,root_translateY,root_translateZ,root_rotateX,root_rotateY,root_rotateZ,left_hip_pitch_joint_dof,left_hip_roll_joint_dof,left_hip_yaw_joint_dof,left_knee_joint_dof,left_ankle_pitch_joint_dof,left_ankle_roll_joint_dof,right_hip_pitch_joint_dof,right_hip_roll_joint_dof,right_hip_yaw_joint_dof,right_knee_joint_dof,right_ankle_pitch_joint_dof,right_ankle_roll_joint_dof,waist_yaw_joint_dof,left_shoulder_pitch_joint_dof,left_shoulder_roll_joint_dof,left_shoulder_yaw_joint_dof,left_elbow_joint_dof,right_shoulder_pitch_joint_dof,right_shoulder_roll_joint_dof,right_shoulder_yaw_joint_dof,right_elbow_joint_dof
0,-13.95075511932373,-332.81573486328125,59.686256408691406,0.5133138459887066,2.2916678548761014,-93.54291542978625,9.05090638115,-0.909844668616,12.5299818097,41.3543467028,-12.6568726109,-4.3848933544,-29.3793118489,0.799900627934,-6.89646723965,20.8483246589,-4.53954032365,2.02740868862,-14.0528214066,-24.093720567,31.6658456214,-33.8702107145,45.6408061252,16.1237466006,-25.1550470426,40.7921198491,63.9746143235
1,-14.068560526551032,-333.7479737979199,59.697353514804945,-0.06782658238494287,2.3219937124185632,-93.37806944571483,8.72876232951,-0.368188779546,12.5291102897,42.4387021985,-12.2467725643,-4.52805274421,-28.9840341233,1.21758625901,-6.7962425145,19.9312051165,-4.93430697845,1.73400680569,-13.8753072963,-24.0560939695,31.6795710968,-33.9657889504,46.0155647852,16.1528704865,-25.1267150871,40.5887398162,63.5786413321
2,-14.179343748428611,-334.6730861857871,59.704265697955066,-0.5282546474609588,2.303486580924778,-93.21839944519955,8.36096389635,0.182807627895,12.5398878604,43.5003167313,-11.8324621342,-4.67361265614,-28.5471991345,1.63643573741,-6.6860093585,19.0414065413,-5.33094596488,1.44153578689,-13.6702582626,-23.9601782493,31.685204254,-34.0587886094,46.4116833746,16.1336874662,-25.1058827243,40.3795483198,63.1385902446
3,-14.278350040804185,-335.5906264623799,59.71635537718223,-0.9193778154648368,2.242629155336702,-93.05915452548967,7.94841114607,0.741796173165,12.5622881472,44.5365923522,-11.4149552074,-4.82121688072,-28.0698758908,2.05542406826,-6.56603753063,18.1811064194,-5.72848664089,1.15071135781,-13.4381760947,-23.8062081284,31.6827313077,-34.1489821059,46.8281925248,16.0662444839,-25.0926009346,40.1650572867,62.6555379397
4,-14.372448042093824,-336.49996595772666,59.74813481283548,-1.2620624417138273,2.1586530098421983,-92.94925445928992,7.49211366436,1.30740891762,12.5962563328,45.5449931214,-10.9952734934,-4.97050420567,-27.5532324822,2.47352591692,-6.43662062209,17.3524100494,-6.12595615783,0.862245214567,-13.1796287368,-23.5945603973,31.6721583096,-34.2361487212,47.2640729681,15.9507065837,-25.0869022207,39.9457916123,62.1306665273
5,-14.453711087368877,-337.39559318935585,59.78903463074238,-1.5715708012433223,2.0549409087335206,-92.93077862815292,6.99318808764,1.8782617121,12.6417092915,46.5230513131,-10.5744440238,-5.12110929988,-26.9985332218,2.8897181181,-6.29807533772,16.5573453903,-6.52238184118,0.576843282149,-12.8952488975,-23.3257529937,31.6535111335,-34.320075144,47.718258032,15.7873565063,-25.0888005283,39.7222878764,61.5652604557
6,-14.528869532269535,-338.2830135204989,59.83920094134962,-1.8346215011525935,1.9147068477911027,-93.06538657705738,6.4528553704,2.45295758416,12.6985357923,47.468373455,-10.1534966386,-5.27266360745,-26.4071355515,3.30298217973,-6.15074072105,15.7978580984,-6.91679357086,0.295203986911,-12.5857325018,-23.0004437341,31.6268354124,-34.4005559922,48.1896362497,15.5765939967,-25.098291212,39.4950930301,60.9607033684
7,-14.604751960890589,-339.161323622981,59.902461037965224,-2.0487073250951884,1.7388674892289309,-93.31110413020525,5.87243779734,3.03009015669,12.766596771,48.3786461855,-9.73346146681,-5.42479624961,-25.7804867205,3.71230677542,-5.99497732457,15.0758067665,-7.30822615528,0.0180165474032,-12.2518369884,-22.619428705,31.592196426,-34.4773943158,48.6770540795,15.3189348261,-25.1153510464,39.2647630574,60.3184747178
8,-14.690870596853184,-340.0333738307369,59.9793844624324,-2.2406658877079475,1.5679156430447658,-93.55322067186411,5.25335574752,3.60824708958,12.8457256713,49.2516419146,-9.31536640476,-5.57713493227,-25.1201202436,4.11669021927,-5.83116632743,14.3929583751,-7.69572169332,-0.254040712262,-11.8943794554,-22.1836403139,31.5496789419,-34.5504020785,49.1793187284,15.0150095296,-25.1399382833,39.0318616142,59.640146145
9,-14.779140465292148,-340.89612458512295,60.06971678198493,-2.440831417632132,1.4451246338640076,-93.67915136570736,4.59712421846,4.18601353593,12.9357288512,50.0852242755,-8.90023460116,-5.72930685715,-24.4276521482,4.51514291725,-5.65970860258,13.7509839687,-8.07833191846,-0.520302022381,-11.5142346614,-21.6941450081,31.4993870074,-34.6194006181,49.6952010707,14.6655618634,-25.1719927536,38.7969586494,58.9273776338
10,-14.878165891879412,-341.7435456048395,60.17865858094649,-2.6520521411825935,1.3854525226096328,-93.65150103057626,3.90534911868,4.76197560443,13.0363860581,50.8773533524,-8.4890819531,-5.88093963406,-23.7047770197,4.90668978882,-5.48102373581,13.1514545662,-8.45512051936,-0.780115796909,-11.1123328843,-21.1521406645,31.4414436953,-34.6842210836,50.2234386557,14.2714469844,-25.2114360147,38.5606290099,58.1819134481
