Frame,root_translateX,root_translateY,root_translateZ,root_rotateX,root_rotateY,root_rotateZ,left_hip_pitch_joint_dof,left_hip_roll_joint_dof,left_hip_yaw_joint_dof,left_knee_joint_dof,left_ankle_pitch_joint_dof,left_ankle_roll_joint_dof,right_hip_pitch_joint_dof,right_hip_roll_joint_dof,right_hip_yaw_joint_dof,right_knee_joint_dof,right_ankle_pitch_joint_dof,right_ankle_roll_joint_dof,waist_yaw_joint_dof,left_shoulder_pitch_joint_dof,left_shoulder_roll_joint_dof,left_shoulder_yaw_joint_dof,left_elbow_joint_dof,right_shoulder_pitch_joint_dof,right_shoulder_roll_joint_dof,right_shoulder_yaw_joint_dof,right_elbow_joint_dof
0,-7.0142598152160645,-348.09417724609375,62.567657470703125,6.251373260722143,2.5324883306717223,-103.29955453926414,-12.368486,-7.512075,28.408209,12.589148,-7.7057133,4.8748817,-10.081947,-9.563946,4.852388,70.56859,4.2630734,4.8662024,6.7860775,14.789959,24.766127,-33.05332,48.47315,-10.009338,-27.894672,50.645752,57.575382
1,-6.960359410461356,-348.6950694086753,62.619384520709545,6.413092066832145,2.441202001689544,-103.5811403430994,-11.489715416228194,-8.004536191927786,28.586145114722985,11.82494048819921,-7.771848749596958,4.917045211264886,-11.048969294461907,-10.377987533510675,4.1251434700931275,72.07827575756166,4.014252712253472,4.254835393310945,6.351466442315728,14.294689403698293,24.80618991769502,-33.01075405588379,48.31597315576414,-9.508860577465,-27.904302048714165,52.086854733065394,57.38733725627953
2,-6.915614611003025,-349.27976465981124,62.66403636445228,6.4616801882221795,2.3201702756312512,-103.7322334825729,-10.714838916385528,-8.319684895555687,28.64175181343149,11.373878794523753,-7.97813724791192,4.868723191948211,-11.932260094449436,-11.055980322084743,3.268945699384134,73.38475962013003,3.1722493823131335,3.3191304381257933,6.153187014027809,13.50258311096959,24.847331661164002,-33.26180094566504,48.39033970829831,-8.642903922762358,-27.91635117368948,52.672683941944484,57.02158145603707
3,-6.878199163347855,-349.85483301470595,62.705655086828074,6.520289300638502,2.1980090343899947,-103.81543176373228,-9.932497877681124,-8.66024280265051,28.642547127934847,10.872472681563991,-8.139179369231018,4.754696162382974,-12.77262077486531,-11.743339897785264,2.3385274663904507,74.52293147253022,1.766513810127855,2.1679668817675672,5.188130532283586,12.794183866078523,24.93522221598284,-32.99188975253853,48.509237285465126,-8.463694955245614,-27.95791184317516,54.576198641161646,56.65463024565105
4,-6.852299253730415,-350.4274853577042,62.74529586477468,6.491954672124205,2.038019721378444,-103.79662553844747,-9.240487677324108,-8.853991604979067,28.54385209004239,10.671623411910291,-8.445701987840382,4.625052842902171,-13.514824710612244,-12.312570792675304,1.3310496496295088,75.46086119958733,0.1925668656465062,1.007279371559288,4.794028314230406,11.82346141328972,24.980630567727417,-33.212971559699085,48.7726855151272,-7.67866019426831,-27.96759452542042,55.03400384524125,56.205787271499865
5,-6.833997220881612,-350.99840181143225,62.78462804148963,6.445240769549951,1.871956332516315,-103.69196984347987,-8.571658692523606,-9.021450994308168,28.35257373156345,10.512858748153018,-8.753085978026144,4.537067453838805,-14.19665027659296,-12.814112538817925,0.32824034761874116,76.20295868612645,-1.1779215611820435,0.030780464823976686,4.21702267701561,10.768646496867817,25.038625701973626,-33.393547450341494,49.130310025147146,-7.034796059183982,-27.98195068867448,55.56157856870766,55.82251517996197
6,-6.8235563117354765,-351.5597480942193,62.822978736049336,6.375930235269031,1.6996000841084884,-103.47260291178641,-7.935061300488744,-9.154810162404624,28.035523084307357,10.415985452882538,-9.063058214074436,4.503912115525871,-14.809553847710175,-13.26367316827619,-0.7239499211244206,76.74192381697269,-2.2931949604089246,-0.7263284211153451,3.4692576377865443,9.705064861077435,25.100918604297355,-33.46924950766056,49.52544244338759,-6.475854369346172,-27.99403780118656,56.004596826085255,55.494824617415766
7,-6.815653625917691,-352.11562229744146,62.86018242226657,6.3111180319521525,1.5282794846367986,-103.23077364264185,-7.295529878428645,-9.291653301035245,27.688868180083446,10.291435288689215,-9.33797457027139,4.49009934829637,-15.397357798866606,-13.660927713113164,-1.726379918082544,77.10965247695117,-3.3393694020852664,-1.349403308935656,2.8244732136905526,8.829291250183212,25.140720260274495,-33.49783081485108,49.747346397711134,-5.980033344108419,-27.99599133120588,56.1412546318984,55.28614723023969
8,-6.816118053672834,-352.66029585231877,62.89495205295798,6.2092958651557835,1.3406617868288973,-102.88942407861565,-6.676043203552436,-9.374716601966842,27.239773050701046,10.232408518163414,-9.628169920903135,4.4842922724833,-15.912339504964978,-13.976536205391909,-2.766767084738198,77.28001655088696,-4.270231986262201,-1.8870347613139347,1.9754397218749795,7.786189408449775,25.18820365548093,-33.47898645510786,50.1562245159804,-5.454981602824261,-27.99474274698165,56.210186000671456,55.04178666481216
9,-6.820307141251343,-353.20241396936785,62.92739676013946,6.085684364052311,1.170439197594068,-102.5086030029072,-6.09356015306924,-9.416823256966223,26.758814727969494,10.219719903895502,-9.941343140255803,4.468934408419661,-16.411753340908003,-14.184620677175488,-3.732330042573949,77.27327392360517,-5.056216912990856,-2.3603998309271597,1.0255515794871686,6.698351080141754,25.238187775492555,-33.3830575116257,50.626935426058,-4.95803106484724,-27.988522516763094,56.14940694692881,54.825164567511585
