Frame,root_translateX,root_translateY,root_translateZ,root_rotateX,root_rotateY,root_rotateZ,left_hip_pitch_joint_dof,left_hip_roll_joint_dof,left_hip_yaw_joint_dof,left_knee_joint_dof,left_ankle_pitch_joint_dof,left_ankle_roll_joint_dof,right_hip_pitch_joint_dof,right_hip_roll_joint_dof,right_hip_yaw_joint_dof,right_knee_joint_dof,right_ankle_pitch_joint_dof,right_ankle_roll_joint_dof,waist_yaw_joint_dof,left_shoulder_pitch_joint_dof,left_shoulder_roll_joint_dof,left_shoulder_yaw_joint_dof,left_elbow_joint_dof,right_shoulder_pitch_joint_dof,right_shoulder_roll_joint_dof,right_shoulder_yaw_joint_dof,right_elbow_joint_dof
0,0.4184194505214691,1.7260143756866455,64.29947662353516,0.2503842154489564,1.1380963320195112,-105.55290668398872,-6.686571,4.609953,20.47461,15.309522,-10.91378,-4.316536,2.4944365,-0.7344453,-13.931026,9.58709,-14.179222,-0.03590773,1.5940816,0.8347035,22.256882,-30.003725,58.54951,-1.6847886,-23.5028,46.71284,50.165527
1,0.42403894662857056,1.722566843032837,64.29944610595703,0.24840194369808344,1.1391454712087903,-105.55289538477928,-6.765449,4.6408463,20.464157,15.519143,-11.000422,-4.2921166,2.5140786,-0.73252904,-13.924256,9.550687,-14.205582,0.014963109,1.5942564,0.834686,22.263514,-30.003664,58.54952,-1.6847907,-23.50788,46.713314,50.165493
2,0.43691518902778625,1.712748646736145,64.2950668334961,0.23988673456727605,1.1444610281033543,-105.55218994675211,-6.856858,4.6713457,20.453426,15.764148,-11.119864,-4.25607,2.5689237,-0.72935504,-13.918758,9.428846,-14.184483,0.07996974,1.5958138,0.8345956,22.288826,-30.002619,58.54956,-1.6848234,-23.5274,46.715137,50.165188
3,0.45408952236175537,1.693961262702942,64.28817749023438,0.2251577228288385,1.1546989867326827,-105.55031916711117,-6.9694815,4.712746,20.439447,16.062092,-11.275432,-4.212299,2.622873,-0.72428024,-13.91494,9.307849,-14.164085,0.15094781,1.6003793,0.83440375,22.335676,-29.999193,58.549637,-1.6849612,-23.56375,46.718613,50.164158
4,0.4879245460033417,1.6639366149902344,64.22471618652344,-0.14054498392556186,1.4423020011632486,-105.61480874645025,-7.872143,5.346598,20.343037,17.818226,-12.323956,-4.2060547,2.4352446,-0.3707151,-13.818456,9.1497965,-14.136004,0.22941639,1.8334218,1.0658752,22.98178,-29.643036,58.003143,-1.3710917,-24.06898,46.812664,49.05481
5,0.4927860200405121,1.6545931100845337,64.21556854248047,-0.1449108609075327,1.4451787265770848,-105.61500919985298,-7.9771886,5.3842826,20.328222,18.09622,-12.460293,-4.133581,2.4375129,-0.37883556,-13.816105,9.156426,-14.169689,0.29630858,1.8337286,1.0659955,22.992119,-29.642305,58.003254,-1.3710767,-24.077456,46.812973,49.05465
6,0.5115042328834534,1.6296290159225464,64.20927429199219,-0.1606673350130155,1.4560457371860847,-105.61639579540349,-8.1092615,5.4328938,20.310814,18.453304,-12.662592,-4.035964,2.4437213,-0.38849545,-13.814983,9.159524,-14.201758,0.382512,1.8355112,1.0667709,23.02726,-29.63996,58.004185,-1.3710968,-24.105627,46.81473,49.05358
7,0.5521809458732605,1.587510108947754,64.1328125,-0.6271667334959282,1.6300903818442403,-105.78955511457546,-8.954036,6.209828,20.28644,20.396751,-13.830439,-3.9998803,2.3106036,0.043033943,-13.620918,9.095677,-14.189184,0.46896487,1.8893534,1.1372523,23.527422,-29.392965,58.07599,-0.9415552,-24.51212,46.938427,47.84276
8,0.5650997757911682,1.5789119005203247,64.1237564086914,-0.6354767410720058,1.6348782141785916,-105.79035929944203,-9.071195,6.253104,20.271902,20.717468,-13.973967,-3.9362378,2.2957883,0.02595031,-13.621452,9.161842,-14.2551565,0.5362128,1.8895513,1.1374594,23.541967,-29.392334,58.07623,-0.9414473,-24.524296,46.93916,47.842476
9,0.5924592614173889,1.5423080921173096,64.11316680908203,-0.6627863652259139,1.654278002056515,-105.79499765821878,-9.199342,6.300487,20.26264,21.072529,-14.131267,-3.9001462,2.3100407,0.01226269,-13.6209,9.159838,-14.291639,0.61379063,1.8910763,1.1391057,23.5939,-29.390636,58.07744,-0.9412953,-24.567566,46.942814,47.840458
10,0.6330740451812744,1.4866564273834229,64.0158920288086,-1.236451531779588,1.722531661769135,-105.95921216216968,-9.977656,7.206463,20.205587,23.10945,-15.280028,-3.9661746,2.2759933,0.5482203,-13.436507,9.130374,-14.305426,0.66672176,1.8821336,1.2526379,23.989647,-29.254402,58.180916,-0.45216164,-24.897356,47.069088,46.662666
11,0.6567530632019043,1.4461156129837036,64.00196838378906,-1.259735860577005,1.738964574429606,-105.96234565501359,-10.106362,7.256676,20.197735,23.465061,-15.401579,-3.963041,2.2512877,0.52436393,-13.438226,9.233973,-14.404155,0.72891855,1.8824216,1.2536193,24.031002,-29.253464,58.180893,-0.45172164,-24.933455,47.071415,46.66154
12,0.6930021643638611,1.3796532154083252,63.923500061035156,-1.7314579759007804,1.7509785933805582,-106.06553775802395,-10.663715,7.9697742,20.116041,25.043385,-16.269373,-3.989183,2.337776,0.971165,-13.317344,9.075916,-14.354277,0.7949934,1.8760396,1.4668521,24.348993,-29.147442,58.115303,-0.02317155,-25.206705,47.14914,45.771194
13,0.7136660814285278,1.3339492082595825,63.91404724121094,-1.7540679277561273,1.7702634204425751,-106.06733878904167,-10.786884,8.010327,20.09892,25.389421,-16.38132,-3.9349856,2.3889413,0.9644453,-13.316406,8.993222,-14.352358,0.87865126,1.8778287,1.4679729,24.382023,-29.14602,58.11513,-0.022689195,-25.237295,47.15123,45.77047
14,0.7585739493370056,1.2515828609466553,63.838722229003906,-2.135442470584762,1.7654127522065308,-106.14915448399314,-11.240923,8.571027,20.000477,26.750439,-17.115358,-3.8982136,2.4619288,1.2927537,-13.218018,8.945647,-14.381779,0.98601204,2.0021808,1.8111697,24.635893,-29.025871,57.87327,0.33335602,-25.467379,47.194405,45.12
15,0.789749801158905,1.1821686029434204,63.826297760009766,-2.168125439123208,1.7931239219465822,-106.15282957892036,-11.362486,8.610013,19.97788,27.112766,-17.256548,-3.809202,2.5558124,1.2921019,-13.213079,8.773502,-14.339708,1.0928825,2.012319,1.8166462,24.709751,-29.01844,57.871075,0.3344383,-25.541569,47.200523,45.116558
16,0.8342093825340271,1.091726541519165,63.75511169433594,-2.498366492932128,1.7713940210985988,-106.24189954765743,-11.710221,9.08568,19.908869,28.262362,-17.91373,-3.7430787,2.607252,1.5541222,-13.107991,8.832854,-14.429421,1.1997595,2.1801028,2.2392237,24.907166,-28.882256,57.576756,0.6234477,-25.730682,47.21346,44.600315
17,0.8662244081497192,1.0063320398330688,63.738853454589844,-2.536110097379419,1.8056709168995833,-106.24901930698995,-11.800974,9.115381,19.89818,28.575998,-18.105259,-3.6226778,2.6848855,1.5445399,-13.096566,8.724263,-14.42678,1.3020242,2.1935616,2.2522094,24.99407,-28.86961,57.577057,0.6226333,-25.82093,47.218227,44.594658
18,0.9104921221733093,0.8968521952629089,63.67193603515625,-2.8313254116274438,1.7580324814056365,-106.37705667542792,-12.024156,9.529283,19.904171,29.533522,-18.717842,-3.5207486,2.743493,1.7577648,-12.947751,8.842945,-14.545082,1.400576,2.3404298,2.577762,25.151953,-28.750454,57.51419,0.81607676,-25.976257,47.22812,44.2119
19,0.9522734880447388,0.7878561615943909,63.63185501098633,-3.0146095749814354,1.7434558181238302,-106.46439688107597,-12.145182,9.760722,19.924028,30.135063,-19.149195,-3.4046686,2.829041,1.8703885,-12.847983,8.834129,-14.593882,1.5036772,2.4098897,2.7769392,25.290117,-28.645277,57.49792,0.928234,-26.11388,47.23229,43.994907
20,0.9927951097488403,0.6793513894081116,63.59306716918945,-3.167999301150802,1.740731706766662,-106.55226456811373,-12.223442,9.93582,19.960546,30.616003,-19.55064,-3.3012886,2.9084392,1.9438723,-12.758711,8.822534,-14.643826,1.6207429,2.4755495,2.9674253,25.408928,-28.548134,57.46358,0.9894613,-26.23566,47.225964,43.85699
21,1.040158987045288,0.5614790320396423,63.556312561035156,-3.31560564109132,1.7497124563641777,-106.64766253786179,-12.272021,10.085924,20.014227,31.013042,-19.95257,-3.2162886,2.9879048,2.003322,-12.6753435,8.788861,-14.684008,1.7507455,2.555262,3.1877038,25.51016,-28.451618,57.369247,1.024651,-26.342941,47.200275,43.76598
22,1.1025595664978027,0.44334834814071655,63.52102279663086,-3.4584599889410517,1.765931702267437,-106.75133703494372,-12.2900095,10.21417,20.085245,31.336609,-20.35503,-3.1423185,3.0696263,2.0509067,-12.593059,8.739003,-14.717021,1.8902699,2.6503894,3.4383712,25.596415,-28.353565,57.229523,1.0398268,-26.437271,47.15202,43.715744
23,1.1622213125228882,0.31186017394065857,63.48793411254883,-3.585729744404689,1.7827594783315672,-106.85740378615272,-12.275576,10.311469,20.166075,31.594559,-20.746609,-3.0795352,3.1560383,2.0764418,-12.512257,8.684846,-14.747914,2.0408766,2.7404852,3.7081292,25.670052,-28.25238,57.081764,1.0378877,-26.519875,47.07622,43.71128
24,1.221565842628479,0.16817189753055573,63.454566955566406,-3.685574861844404,1.793603171576066,-106.95891809984457,-12.2271385,10.367406,20.248323,31.794603,-21.115536,-3.0277402,3.2461052,2.0679996,-12.4346075,8.647037,-14.787064,2.2044525,2.803916,3.980387,25.733044,-28.147554,56.967953,1.0196337,-26.591784,46.968147,43.75885
25,1.285035490989685,0.017590755596756935,63.42491912841797,-3.7533131805880315,1.7939046552936198,-107.055939294549,-12.133801,10.376634,20.3312,31.924662,-21.462986,-2.9957201,3.3465855,2.0217848,-12.357879,8.622532,-14.835018,2.39155,2.8348582,4.242652,25.786674,-28.035652,56.90928,0.9865352,-26.653696,46.820713,43.866245
26,1.3501492738723755,-0.1387075036764145,63.396854400634766,-3.7954936588536663,1.7878563474172282,-107.15041727494084,-11.999893,10.344591,20.418163,31.986048,-21.794006,-2.9806256,3.454867,1.9435998,-12.28315,8.606697,-14.889637,2.5977588,2.8437896,4.500567,25.831673,-27.916647,56.8858,0.94169736,-26.706415,46.63222,44.02676
27,1.4165024757385254,-0.29711616039276123,63.37235641479492,-3.817109550196646,1.7827217754102618,-107.23866431055873,-11.847787,10.277891,20.506777,32.005333,-22.101723,-2.9646237,3.5610504,1.8384719,-12.216664,8.604549,-14.948474,2.802402,2.8330624,4.765759,25.869003,-27.798418,56.876312,0.8889087,-26.751106,46.40926,44.22014
28,1.485836148262024,-0.45973458886146545,63.34995651245117,-3.8235600858366983,1.785353149486884,-107.31593090447716,-11.698801,10.182992,20.593777,32.007877,-22.378376,-2.9297717,3.6602316,1.7125952,-12.165607,8.609822,-15.00202,2.9852562,2.8046422,5.047969,25.899498,-27.693445,56.86047,0.8282753,-26.788973,46.163868,44.430367
29,1.554223895072937,-0.6286500692367554,63.33106231689453,-3.819698025251161,1.7946965594215003,-107.38045281577082,-11.556705,10.066403,20.678537,32.00513,-22.624813,-2.8688695,3.7486172,1.5714147,-12.133649,8.637716,-15.0576,3.1343093,2.7508588,5.3466716,25.924606,-27.614962,56.845455,0.7549183,-26.821342,45.90601,44.65213
30,1.6331294775009155,-0.803727388381958,63.31526565551758,-3.8035234408600282,1.8075724372596111,-107.43427526653865,-11.409932,9.924256,20.761658,31.980133,-22.843313,-2.7921603,3.8320062,1.4134457,-12.117218,8.682635,-15.114779,3.262977,2.6736238,5.650933,25.94516,-27.566118,56.841778,0.6671451,-26.848886,45.636677,44.893288
31,1.7196462154388428,-0.9813141226768494,63.302738189697266,-3.770155510401036,1.8286370593814067,-107.47865464575098,-11.259677,9.749407,20.841808,31.92224,-23.031862,-2.7076654,3.9140677,1.2342432,-12.115257,8.720152,-15.159792,3.3907204,2.5897744,5.9571395,25.960953,-27.540712,56.833282,0.5683937,-26.872156,45.35253,45.15885
32,1.8101619482040405,-1.163211464881897,63.29388427734375,-3.714107285332195,1.8634630364715883,-107.51457511766974,-11.106768,9.533752,20.918259,31.817362,-23.186533,-2.6234336,3.9959943,1.0274789,-12.127267,8.73036,-15.181853,3.5368707,2.51541,6.268979,25.971123,-27.525742,56.79757,0.46392328,-26.891632,45.0467,45.45172
